source,country,brand,category,link
kakaku,JP,iQOS,Tobacco Heating Systems,https://review.kakaku.com/review/S0000928600/
amazon,JP,iQOS,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09FJ6L1KY
amazon,JP,iQOS,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09F9TJJR1
amazon,JP,iQOS,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09FB2XLYM
amazon,JP,Ploom,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09D1F4V3X
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/339161_10000870/1.1/
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/351997_10000963/1.1/
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/351997_10000962/1.1/
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/394030_10000059/1.1/
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/394030_10000064/1.1/
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/315916_10001882/1.1/
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/315916_10001881/1.1/
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/351997_10000961/1.1/
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/394030_10000054/1.1/
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/339161_10000873/1.1/
amazon,JP,iQOS,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09FB1BC8Y
amazon,JP,iQOS,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09F9ZJPMH
amazon,JP,iQOS,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09FB1WJ3X
amazon,JP,iQOS,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09F9YQD6F
kakaku,JP,iQOS,Tobacco Heating Systems,https://review.kakaku.com/review/S0000928601/
kakaku,JP,Ploom,Tobacco Heating Systems,https://review.kakaku.com/review/S0000924020/
amazon,JP,Ploom,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09CZYFM15
amazon,JP,Ploom,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09D37LXZQ
amazon,JP,Ploom,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09D2WXQN7
rakuten,JP,Ploom,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/364910_10000438/1.1/
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/394030_10000055/1.1/
rakuten,JP,iQOS,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/394030_10000052/1.1/
rakuten,JP,Ploom,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/364910_10000437/1.1/
amazon,JP,Ploom,Tobacco Heating Systems,https://www.amazon.co.jp/dp/B09BQGCX7B
krasnoeibeloe,RU,lil,Tobacco Heating Systems,https://krasnoeibeloe.ru/catalog/tvape/ustroystvo_lil_solid_by_iqos_/
rakuten,JP,Ploom,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/344044_10000219/1.1/?l2-id=item_review
rakuten,JP,Ploom,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/339161_10000227/1.1/?l2-id=item_review
rakuten,JP,Ploom,Tobacco Heating Systems,https://review.rakuten.co.jp/item/1/320695_10000646/1.1/?l2-id=item_review
rakuten,JP,Mevius,Tobacco Sticks,https://review.rakuten.co.jp/item/1/198543_10000653/1.1/?l2-id=item_review
kakaku,JP,Ploom,Tobacco Heating Systems,https://review.kakaku.com/review/S0000879404
kakaku,JP,Ploom,Tobacco Heating Systems,https://review.kakaku.com/review/S0000841997
kakaku,JP,Ploom,Tobacco Heating Systems,https://review.kakaku.com/review/S0000866137
